"Category";"Average temperature for period";"Temperature anomaly from 1981-2010 average"
1961;6.8;1
1962;4.6;-1.3
1963;4.7;-1.1
1964;5.4;-0.5
1965;4.8;-1.1
1966;4;-1.8
1967;5.4;-0.4
1968;4.7;-1.2
1969;4.2;-1.7
1970;4.4;-1.4
1971;5.2;-0.6
1972;5.9;0.1
1973;5.4;-0.4
1974;6.6;0.7
1975;6.9;1.1
1976;4.1;-1.8
1977;4.5;-1.4
1978;3.8;-2
1979;4.7;-1.2
1980;4.7;-1.1
1981;5;-0.9
1982;5.6;-0.2
1983;6.1;0.2
1984;6;0.2
1985;3.4;-2.5
1986;4.9;-0.9
1987;3.3;-2.6
1988;5.9;0
1989;7.1;1.2
1990;6.7;0.9
1991;6.2;0.3
1992;6.4;0.5
1993;5.5;-0.4
1994;5.3;-0.6
1995;6.1;0.3
1996;4.8;-1.1
1997;6.1;0.3
1998;5.3;-0.5
1999;6.3;0.4
2000;7.1;1.3
2001;5.9;0.1
2002;6;0.2
2003;5.6;-0.2
2004;6.1;0.3
2005;6.5;0.7
2006;6.6;0.8
2007;6.9;1.1
2008;7.5;1.7
2009;6.1;0.3
2010;5;-0.8
2011;7.1;1.2
2012;5.8;0
2013;6.9;1.1
2014;7.2;1.4
2015;7.7;1.8
2016;6.5;0.7
2017;6.5;0.7
2018;7.2;1.4
2019;7.4;1.5